model,accuracy,precision,recall,f1,roc_auc
logreg,0.8429752066115702,0.8686868686868687,0.7747747747747747,0.819047619047619,0.9000068771061138
rf,0.8016528925619835,0.7889908256880734,0.7747747747747747,0.7818181818181819,0.895020975173647
xgb,0.7768595041322314,0.7714285714285715,0.7297297297297297,0.75,0.8491162918643835
svc,0.8099173553719008,0.8282828282828283,0.7387387387387387,0.780952380952381,0.8791692455814594
